INFO 2012-08-17 15:52:14,765 views 1220 4372 Got file: "IMG_0517_4.JPG"
INFO 2012-08-17 15:52:14,951 views 1220 4372 File saving done
INFO 2012-08-17 16:42:22,678 views 3084 4356 load_photo
INFO 2012-08-17 16:42:22,726 views 3084 4356 Got file: "IMG_16082012_175902_4_1_1.png"
INFO 2012-08-17 16:42:22,770 views 3084 4356 File saving done
INFO 2012-08-17 16:42:29,989 views 3084 3076 load_photo
INFO 2012-08-17 16:42:30,033 views 3084 3076 Got file: "IMG_0517_3.JPG"
INFO 2012-08-17 16:42:30,200 views 3084 3076 File saving done
INFO 2012-08-17 16:42:41,326 views 3084 4660 load_photo
INFO 2012-08-17 16:42:41,368 views 3084 4660 Got file: "IMG_16082012_175902_3.png"
INFO 2012-08-17 16:42:41,417 views 3084 4660 File saving done
INFO 2012-08-17 16:45:24,677 views 3084 3632 load_photo
INFO 2012-08-17 16:45:24,727 views 3084 3632 Got file: "IMG_16082012_175902_4.png"
INFO 2012-08-17 16:45:24,767 views 3084 3632 File saving done
INFO 2012-08-17 16:45:47,302 views 3084 3188 load_photo
INFO 2012-08-17 16:45:47,313 views 3084 3188 Got file: "IMG_16082012_175902_3_1.png"
INFO 2012-08-17 16:45:47,357 views 3084 3188 File saving done
INFO 2012-08-17 16:45:49,016 views 3084 4484 load_photo
INFO 2012-08-17 16:45:49,078 views 3084 4484 Got file: "IMG_0515.JPG"
INFO 2012-08-17 16:45:49,124 views 3084 4484 File saving done
INFO 2012-08-17 16:45:50,723 views 3084 5004 load_photo
INFO 2012-08-17 16:45:50,773 views 3084 5004 Got file: "980u.jpg"
INFO 2012-08-17 16:45:50,867 views 3084 5004 File saving done
INFO 2012-08-17 16:45:52,469 views 3084 4060 load_photo
INFO 2012-08-17 16:45:52,592 views 3084 4060 Got file: "IMG_0515_3_1.JPG"
INFO 2012-08-17 16:45:52,674 views 3084 4060 File saving done
INFO 2012-08-17 16:47:29,246 views 3084 3884 load_photo
INFO 2012-08-17 16:47:29,368 views 3084 3884 Got file: "980u_2_2.jpg"
INFO 2012-08-17 16:47:29,411 views 3084 3884 File saving done
INFO 2012-08-17 16:48:27,048 views 3084 5056 load_photo
INFO 2012-08-17 16:48:27,099 views 3084 5056 Got file: "980u_3.jpg"
INFO 2012-08-17 16:48:27,259 views 3084 5056 File saving done
INFO 2012-08-17 16:48:30,163 views 3084 4580 load_photo
INFO 2012-08-17 16:48:30,285 views 3084 4580 Got file: "IMG_0517_6.JPG"
INFO 2012-08-17 16:48:30,348 views 3084 4580 File saving done
INFO 2012-08-17 16:48:33,569 views 3084 3564 load_photo
INFO 2012-08-17 16:48:33,677 views 3084 3564 Got file: "980u_2.jpg"
INFO 2012-08-17 16:48:33,767 views 3084 3564 File saving done
INFO 2012-08-17 16:51:46,428 views 3084 1696 load_photo
INFO 2012-08-17 16:51:46,469 views 3084 1696 Got file: "IMG_16082012_175902_1.png"
INFO 2012-08-17 16:51:46,513 views 3084 1696 File saving done
INFO 2012-08-17 16:54:17,615 views 3084 3332 load_photo
INFO 2012-08-17 16:54:17,628 views 3084 5068 load_photo
INFO 2012-08-17 16:54:17,631 views 3084 4412 load_photo
INFO 2012-08-17 16:54:17,663 views 3084 3332 Got file: "980u_2_2.jpg"
INFO 2012-08-17 16:54:17,667 views 3084 4412 Got file: "IMG_0517_2.JPG"
INFO 2012-08-17 16:54:17,680 views 3084 5068 Got file: "IMG_0515_2_1_1.JPG"
INFO 2012-08-17 16:54:17,750 views 3084 3332 File saving done
INFO 2012-08-17 16:54:17,960 views 3084 4412 File saving done
INFO 2012-08-17 16:54:19,413 views 3084 5068 File saving done
INFO 2012-08-17 16:56:58,461 views 3084 2348 load_photo
INFO 2012-08-17 16:56:58,507 views 3084 2348 Got file: "IMG_16082012_175902_5.png"
INFO 2012-08-17 16:56:58,559 views 3084 2348 File saving done
INFO 2012-08-17 17:00:08,367 views 3084 2568 load_photo
INFO 2012-08-17 17:00:08,367 views 3084 4360 load_photo
INFO 2012-08-17 17:00:08,377 views 3084 5004 load_photo
INFO 2012-08-17 17:00:08,377 views 3084 2348 load_photo
INFO 2012-08-17 17:00:09,148 views 3084 3148 load_photo
INFO 2012-08-17 17:00:09,151 views 3084 3308 load_photo
INFO 2012-08-17 17:00:09,151 views 3084 4496 load_photo
INFO 2012-08-17 17:00:09,151 views 3084 3552 load_photo
INFO 2012-08-17 17:00:09,151 views 3084 3912 load_photo
INFO 2012-08-17 17:00:09,161 views 3084 4280 load_photo
INFO 2012-08-17 17:00:09,194 views 3084 1672 load_photo
INFO 2012-08-17 17:00:09,194 views 3084 4136 load_photo
INFO 2012-08-17 17:00:09,194 views 3084 2704 load_photo
INFO 2012-08-17 17:00:09,194 views 3084 3968 load_photo
INFO 2012-08-17 17:00:09,887 views 3084 3668 load_photo
INFO 2012-08-17 17:00:09,887 views 3084 4792 load_photo
INFO 2012-08-17 17:00:10,256 views 3084 5004 Got file: "980u_2.jpg"
INFO 2012-08-17 17:00:10,256 views 3084 4360 Got file: "980u_1.jpg"
INFO 2012-08-17 17:00:10,256 views 3084 2348 Got file: "980u_2_1.jpg"
INFO 2012-08-17 17:00:10,256 views 3084 2568 Got file: "980u.jpg"
INFO 2012-08-17 17:00:10,256 views 3084 3308 Got file: "980u_2_2.jpg"
INFO 2012-08-17 17:00:10,591 views 3084 5004 File saving done
